ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE000KGX8881,KGX,KION GROUP AG,Common stock,EUR,2504811,2020-12-07,15:33,69.68,69.68,69.62,69.62,461,9
DE0006459324,LUS,LANG+SCHWARZ AG NA,Common stock,EUR,2505041,2020-12-07,15:33,65,65,65,65,123,1
DE0007500001,TKA,THYSSENKRUPP AG O.N.,Common stock,EUR,2505105,2020-12-07,15:33,6.078,6.086,6.078,6.086,3922,8
DE0005565204,DUE,DUERR AG O.N.,Common stock,EUR,2504956,2020-12-07,15:33,29.3,29.3,29.3,29.3,208,1
DE000SHL1006,SHL,SIEMENS HEALTH.AG NA O.N.,Common stock,EUR,3058562,2020-12-07,15:33,40.425,40.425,40.39,40.39,3183,13
IE00BH4G7D40,36BA,ISH2-DL C.BD E. HGDEOD,ETF,EUR,5222173,2020-12-07,15:33,5.307,5.307,5.307,5.307,8475,2
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2020-12-07,15:33,47.3,47.325,47.3,47.325,4960,18
DE000A0TGJ55,VAR1,VARTA AG O.N.,Common stock,EUR,2721826,2020-12-07,15:33,107.1,107.1,106.9,107,952,9
DE000A2N4H07,WEW,WESTWING GROUP  INH. O.N.,Common stock,EUR,3490682,2020-12-07,15:33,29.13,29.195,29.095,29.095,1055,9
LU1900067940,LHKG,MUL-L.HONG KONG EOD,ETF,EUR,3867861,2020-12-07,15:33,26.285,26.285,26.285,26.285,337,1
DE0005439004,CON,CONTINENTAL AG O.N.,Common stock,EUR,2504933,2020-12-07,15:33,114.75,114.8,114.7,114.7,1825,9
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Common stock,EUR,2504900,2020-12-07,15:33,73.69,73.73,73.69,73.73,835,9
DE0005790430,FPE3,FUCHS PETROL.SE VZO O.N.,Common stock,EUR,2504976,2020-12-07,15:33,47.44,47.44,47.44,47.44,488,9
FR0000125486,SQU,"VINCI S.A. INH.   EO 2,50",Common stock,EUR,2505182,2020-12-07,15:33,86.54,86.54,86.54,86.54,200,1
LU0533033667,LYPG,MUL-LYX.MSCI W.ITTRUE AEO,ETF,EUR,2506011,2020-12-07,15:33,402,402.05,402,402.05,2,2
DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2020-12-07,15:33,59.56,59.56,59.56,59.56,295,3
DE0006048432,HEN3,HENKEL AG+CO.KGAA VZO,Common stock,EUR,2505004,2020-12-07,15:33,88.82,88.84,88.82,88.84,461,2
DE0007236101,SIE,SIEMENS AG  NA O.N.,Common stock,EUR,2505088,2020-12-07,15:33,112.42,112.44,112.42,112.44,175,4
DE0008404005,ALV,ALLIANZ SE NA O.N.,Common stock,EUR,2505133,2020-12-07,15:33,196.54,196.56,196.54,196.54,318,6
IE00BZ12WP82,LIN,"LINDE PLC        EO 0,001",Common stock,EUR,3553182,2020-12-07,15:33,208.8,208.8,208.8,208.8,718,7
DE0006599905,MRK,MERCK KGAA O.N.,Common stock,EUR,2505050,2020-12-07,15:33,134.95,134.95,134.95,134.95,150,3
LU2010095458,GFG,"GLOBAL FASHION GRP EO-,01",Common stock,EUR,4197492,2020-12-07,15:33,8.336,8.36,8.336,8.35,3084,17
DE000A2YN900,TMV,TEAMVIEWER AG  INH O.N.,Common stock,EUR,4427656,2020-12-07,15:33,38.54,38.54,38.54,38.54,100,1
GB0009252882,GS7,"GLAXOSMITHKLINE   LS-,25",Common stock,EUR,2505383,2020-12-07,15:33,15.464,15.464,15.464,15.464,475,2
DE0006452907,NEM,NEMETSCHEK SE O.N.,Common stock,EUR,2505040,2020-12-07,15:33,57.85,57.9,57.85,57.9,725,3
DE000KC01000,KCO,KLOECKNER + CO SE NA O.N.,Common stock,EUR,2504810,2020-12-07,15:33,7.515,7.53,7.515,7.53,2570,4
IE00B1FZS350,IQQ6,ISHSII-DEV.MKT.PR.Y.DLDIS,ETF,EUR,2505587,2020-12-07,15:33,20.185,20.185,20.185,20.185,55,1
GB0059822006,DLG,"DIALOG SEMICOND.   LS-,10",Common stock,EUR,2505387,2020-12-07,15:33,43.61,43.64,43.53,43.64,3538,27
DE000A0JKHC9,N7G,NANOGATE SE I.A.INH. O.N.,Common stock,EUR,2504339,2020-12-07,15:33,1.35,1.35,1.35,1.35,400,1
IE00B4L5Y983,EUNL,ISHSIII-CORE MSCI WLD DLA,ETF,EUR,2505656,2020-12-07,15:33,59.102,59.126,59.102,59.126,1683,4
IE00B3F81G20,EUNI,ISHSIII-MSCI EM SM.C.DL D,ETF,EUR,2505625,2020-12-07,15:33,61.49,61.49,61.49,61.49,98,2
DE0007446007,TTK,TAKKT AG O.N.,Common stock,EUR,2505097,2020-12-07,15:33,10.64,10.64,10.64,10.64,13,2
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2020-12-07,15:33,29.81,29.815,29.81,29.815,2449,6
DE000PSM7770,PSM,PROSIEBENSAT.1  NA O.N.,Common stock,EUR,2504848,2020-12-07,15:33,12.71,12.715,12.71,12.715,2530,9
IE0005042456,IUSZ,IS CO.FTSE 100 U.ETF LSD,ETF,EUR,2505794,2020-12-07,15:33,7.097,7.098,7.097,7.098,21155,3
LU0635178014,E127,LYX MSCI EM MKT ETF DIS I,ETF,EUR,2506035,2020-12-07,15:33,45.545,45.545,45.545,45.545,109,1
